Address,PropID
"28 Redondo StSan Francisco, CA, 94124
            
            
            2 bd, 2 ba, $548,000
            
            
            2 co-owners
            
            Monthly cost²  
            
            $1,028
            
            Yearly tax savings² 
            
            $5,946",prop--56af92793a021bc72ad1
"370 Stoneridge LnSan Francisco, CA, 94134
            
            
            2 bd, 2 ba, $639,000
            
            
            2 co-owners
            
            Monthly cost²  
            
            $1,199 + HOA
            
            Yearly tax savings² 
            
            $6,934",prop--dc2244d11afe8ac9350a
"8300 Oceanview Ter #205San Francisco, CA, 94132
            
            
            2 bd, 2 ba, $695,000
            
            
            2 co-owners
            
            Monthly cost²  
            
            $1,304 + HOA
            
            Yearly tax savings² 
            
            $7,541",prop--eb8fb9e16fd29afafe8d
"678 Moscow StSan Francisco, CA, 94112
            
            
            2 bd, 1 ba, $718,000
            
            
            2 co-owners
            
            Monthly cost²  
            
            $1,347
            
            Yearly tax savings² 
            
            $7,791",prop--c19e70891e35e418b4a5
"1891 48th AveSan Francisco, CA, 94122
            
            
            2 bd, 1 ba, $729,000
            
            
            2 co-owners
            
            Monthly cost²  
            
            $1,367
            
            Yearly tax savings² 
            
            $7,910",prop--d0d1a32fd0b79d544523
"104 Trumbull StSan Francisco, CA, 94112
            
            
            2 bd, 1 ba, $739,000
            
            
            2 co-owners
            
            Monthly cost²  
            
            $1,386
            
            Yearly tax savings² 
            
            $8,019",prop--bf0956250a33ad599441
"1514 Quesada AveSan Francisco, CA, 94124
            
            
            2 bd, 1 ba, $749,000
            
            
            2 co-owners
            
            Monthly cost²  
            
            $1,405
            
            Yearly tax savings² 
            
            $8,127",prop--2973015c3b0be53d65d4
"215 Red Rock Way #J204San Francisco, CA, 94131
            
            
            2 bd, 2 ba, $775,000
            
            
            2 co-owners
            
            Monthly cost²  
            
            $1,454 + HOA
            
            Yearly tax savings² 
            
            $8,409",prop--cbde3d1de7dcf17b64b2
"875 La Playa St #383San Francisco, CA, 94121
            
            
            2 bd, 2 ba, $780,000
            
            
            2 co-owners
            
            Monthly cost²  
            
            $1,463 + HOA
            
            Yearly tax savings² 
            
            $8,464",prop--b1f05c3969e9c4d940d5
"874 Silver AveSan Francisco, CA, 94134
            
            
            2 bd, 1 ba, $799,000
            
            
            2 co-owners
            
            Monthly cost²  
            
            $1,499
            
            Yearly tax savings² 
            
            $8,670",prop--71aabf10d2f48c5eb0e4
