Address,City-State-Zip,Neighborhood,Bed-bath,Offer-price,Co-owners,Monthly-cost,Tax-savings,Down-payment,Description,Agent,Gallery-url,Success,source_url,source_Address,source_City-State-Zip,source_Neighborhood,source_Bed-bath,source_Offer-price,source_Co-owners,source_Monthly-cost,source_Tax-savings,source_Down-payment,source_Description,source_Agent,source_Gallery-url,,lat,lng
370 Stoneridge Ln,"San Francisco, CA, 94134",Neighborhood: Crocker Amazon,"2 bd, 2 ba","$639,000 ",2,"$1,199 + $169 (HOA)","$6,934 ","$31,950 ","This beautiful bright corner condo features 2 spacious bedrooms (1 Master Suite with wall-mounted shelf and large walk-in closet), 2 nice baths, remodeled kitchen with stainless steel appliances, Quartz countertops, and porcelain tile flooring. Both living room and dining area have luxurious Oak laminate flooring, in-unit laundry area plus storage, a private patio, double-paned windows, and 1 car garage parking with storage rack.    This beauty is located in a very desirable gated community with low monthly HOA Fee ($337 / month), which includes water and common area maintenance. Close to McLaren Park/Golf Course, Crocker Amazon Playground/Soccer Fields, and MUNI Bus lines #8, #8BX (front building). Easy access to HWY 280, 101 and more.","Listing provided by Karen A Mai, Coldwell Banker Res. R.E. Svcs",http://mlax.rapmls.com/Gallery.aspx?mls=SFAR&listingRid=324235,Succeeded,https://app.realtaasa.com/homes/property/CA/San-Francisco/370-Stoneridge-Ln-94134/dc2244d11afe8ac9350a,,,,,,,,,,,,,,37.71023,-122.426265
8300 Oceanview Ter #205,"San Francisco, CA, 94132",Neighborhood: Ingleside Heights,"2 bd, 2 ba","$695,000 ",2,"$1,304 + $245 (HOA)","$7,541 ","$34,750 ","Gorgeous and modern condominium in the newly rebuilt Oceanview Village community! Offers an open concept living/dining room and kitchen floor-plan with stunning black bamboo flooring, kitchen with granite counter-tops and newer Kenmore stainless steel appliances. Large master suite with walk-in closet and large outdoor terrace overlooking the courtyard, every room offers an array of natural light with views. Perfectly situated on the second floor with very close access to elevator, parking garage, and entrance to building from front and rear side. Convenient access to ground level retail: Chase Bank, 24-Hour Fitness, restaurants, and professional services. Walking distance to BART and Muni, and a short drive to Westlake.","Listing provided by Mario Banuelos, Vanguard Properties",http://mlax.rapmls.com/Gallery.aspx?mls=SFAR&listingRid=324154,Succeeded,https://app.realtaasa.com/homes/property/CA/San-Francisco/8300-Oceanview-Ter-205-94132/eb8fb9e16fd29afafe8d,,,,,,,,,,,,,,37.710069,-122.467411
678 Moscow St,"San Francisco, CA, 94112",Neighborhood: Excelsior,"2 bd, 1 ba","$718,000 ",2,"$1,347 ","$7,791 ","$35,900 ","Very clean two bedroom, 1 bath home with sunroom and (unwarranted) bonus room down.  Fireplace, hardwood floors, two car garage with auto door opener.  Large yard waiting to be landscaped. Good transportation.  Close to Crocker Amazon park and Geneva Ave and Mission St shopping.","Listing provided by Edward J Mullins, Mullins & Co.",http://mlax.rapmls.com/Gallery.aspx?mls=SFAR&listingRid=324364,Succeeded,https://app.realtaasa.com/homes/property/CA/San-Francisco/678-Moscow-St-94112/c19e70891e35e418b4a5,,,,,,,,,,,,,,37.7170422,-122.4310962
104 Trumbull St,"San Francisco, CA, 94112",Neighborhood: Excelsior,"2 bd, 1 ba","$739,000 ",2,"$1,386 ","$8,019 ","$36,950 ","Beautiful Victorian Home (delivered vacant) in Excellent Excelsior Location! Formal Living Room w/Wood Burning Fireplace, Formal Dining Room, 2 Bedrooms, 1 Bathroom, Large Country Kitchen and Sunroom! The Sunroom opens onto a Deck and Small Garden! Peek-A-Boo Views, Lots of Natural Light and High Ceilings! There is a 1 Bedroom, 1 Bath In-law rented for $1,000 per month, delivered subject to tenants rights. Separate 1 Car Garage. Close to Bernal Heights, Glen Park, Shopping and Public Transportation!","Listing provided by Alan F Morcos, Pacific Union International Inc.",http://mlax.rapmls.com/Gallery.aspx?mls=SFAR&listingRid=324241,Succeeded,https://app.realtaasa.com/homes/property/CA/San-Francisco/104-Trumbull-St-94112/bf0956250a33ad599441,,,,,,,,,,,,,,37.730553,-122.42815
1514 Quesada Ave,"San Francisco, CA, 94124",Neighborhood: Bayview,"2 bd, 1 ba","$749,000 ",2,"$1,405 ","$8,127 ","$37,450 ","Beautifully remodeled single family home located in the hot Bayview neighborhood. This one has it all and is fully renovated from top to bottom! Upstairs includes two large bedrooms with custom closet systems/custom shutters, a renovated kitchen with stainless steel appliances, updated bathroom, and dramatic open floor plan. Complete with oversized deck off of the entertaining space, storage shed/art studio, and nicely maintained grass backyard. 2 car garage parking, and additional bonus room downstairs already set up for a studio/in-law unit with plumbing/electrical and separate entrance.  Newer tankless water heater, furnace, dual pane windows and more top off this amazing home. This is a home that you won't want to miss!","Listing provided by Michael L Bellings, Vanguard Properties",http://mlax.rapmls.com/Gallery.aspx?mls=SFAR&listingRid=324329,Succeeded,https://app.realtaasa.com/homes/property/CA/San-Francisco/1514-Quesada-Ave-94124/2973015c3b0be53d65d4,,,,,,,,,,,,,,37.73174,-122.388098
215 Red Rock Way #J204,"San Francisco, CA, 94131",Neighborhood: Diamond Heights,"2 bd, 2 ba","$775,000 ",2,"$1,454 + $307 (HOA)","$8,409 ","$38,750 ","Diamond Hts Village #J204 offers two en-suite bedrooms separated by a large living room with sunny, southern views. Some of its features include an updated, open plan contemporary kitchen, dining area, wet bar and living area, two bathrooms, custom tile flooring in the entryway and kitchen, with carpeted bedrooms and living room.  There is also a working gas fireplace and a large walk in closet.  This condo looks over the lower greenbelt and has views of the Mt San Bruno, Glen Canyon and points south.  A deeded parking space is included. The HOA common amenities include a heated pool, fitness center with Sauna and Spa, an electric car charging station and professionally maintained greenbelt, currently being updated with new, native plants.","Listing provided by Charles W Mader, Park North Real Estate",http://mlax.rapmls.com/Gallery.aspx?mls=SFAR&listingRid=324243,Succeeded,https://app.realtaasa.com/homes/property/CA/San-Francisco/215-Red-Rock-Way-J204-94131/cbde3d1de7dcf17b64b2,,,,,,,,,,,,,,37.7456324,-122.4425825
875 La Playa St #383,"San Francisco, CA, 94121",Neighborhood: Outer Richmond,"2 bd, 2 ba","$780,000 ",2,"$1,463 + $367 (HOA)","$8,464 ","$39,000 ","This corner 2 bedroom/2 bathroom unit on the 3rd floor looks out onto the beautiful views of Golden Gate Park and Ocean Beach. The condo is nicely designed with a master suite and a second bedroom across the hall from a second full bathroom. There are laundry machines in the unit. A south east facing deck is a great place to enjoy the surf and watch the sunset. Walk to the Park Chalet, Lands End, the Cliff House and amenities on Balboa Street. There is parking in the garage and professional management taking care of the building and grounds. Safeway and the Ocean Beach Deli are across the street. The condo was recently rented and could rent for $3500 per month if desired.","Listing provided by Shaban A Shakoori, Coldwell Banker Previews Int'l",http://mlax.rapmls.com/Gallery.aspx?mls=SFAR&listingRid=324412,Succeeded,https://app.realtaasa.com/homes/property/CA/San-Francisco/875-La-Playa-St-383-94121/b1f05c3969e9c4d940d5,,,,,,,,,,,,,,37.7716662,-122.5103364
227 Panorama Dr,"San Francisco, CA, 94131",Neighborhood: Midtown Terrace,"2 bd, 1 ba","$799,000 ",2,"$1,499 ","$8,670 ","$39,950 ","FIXER with mid-century flair, expansion possibilities and westerly city/ocean views. Much loved home with original details and much deferred maintenance.  Opportunity to turn a yesterday home into a tomorrow gem.  Extra space and two car tandem garage on entry level plus lower basement with tall ceilings beckon exploration for expanding living space. Midtown Terrace offers convenient location and quick access to freeways, transportation and city amenities. Bring your vision and ideas for transformation.","Listing provided by Jim Beitzel, Zephyr Real Estate",http://mlax.rapmls.com/Gallery.aspx?mls=SFAR&listingRid=324213,Succeeded,https://app.realtaasa.com/homes/property/CA/San-Francisco/227-Panorama-Dr-94131/ae59be2c36c37b73fa3c,,,,,,,,,,,,,,37.749014,-122.452401
874 Silver Ave,"San Francisco, CA, 94134",Neighborhood: Portola,"2 bd, 1 ba","$799,000 ",2,"$1,499 ","$8,670 ","$39,950 ","Situated in the highly prized University Mound neighborhood in the heart of San Francisco's Portola District. Featuring 2 large bedrooms and 1 full bath. Living room, eat-in kitchen and separate formal dining room. This lovely tunnel home has freshly painted exterior, newly refinished hardwood floors. Close to public transportation, parks, restaurants, shopping, and easy access to freeways.","Listing provided by Jay Minemoto, Berkshire Hathaway Home Services California Realty",http://mlax.rapmls.com/Gallery.aspx?mls=SFAR&listingRid=324181,Succeeded,https://app.realtaasa.com/homes/property/CA/San-Francisco/874-Silver-Ave-94134/71aabf10d2f48c5eb0e4,,,,,,,,,,,,,,37.7287754,-122.4177948
167 Vienna St,"San Francisco, CA, 94112-2107",Neighborhood: Excelsior,"2 bd, 1 ba","$799,000 ",2,"$1,499 ","$8,670 ","$39,950 ","Property sits on a 50 x 100 DOUBLE LOT!!  Total Fixer in a desirable neighborhood. This is a great  opportunity for Contractors, Investors, and Visionaries.  Owner and Tenant Occupied.","Listing provided by James S Wong, Vanguard Properties",http://mlax.rapmls.com/Gallery.aspx?mls=SFAR&listingRid=324308,Succeeded,https://app.realtaasa.com/homes/property/CA/San-Francisco/167-Vienna-St-94112/c1d8391215af65209f43,,,,,,,,,,,,,,37.7255619,-122.426221
