Address,City_State-Zip ,Neighborhood,Property-type,Bed-bath,Offer-price,Co-owners,Monthly-cost,Tax-savings,Down-payment,Description,Agent,Gallery-url,Success,source_urls,source_Address,source_City-State-Zip,source_Neighborhood,source_Property-type,source_Bed-bath,source_Offer-price,source_Co-owners,source_Monthly-cost,source_Tax-savings,source_Down-payment,source_Description,source_Agent,source_Gallery-url,,lat,lng,image
28 Redondo St,"San Francisco, CA, 94124",Neighborhood: Bayview,House,"2 bd, 2 ba","$548,000 ",2,"$1,028 ","$5,946 ","$27,400 ","Priced to Sell! Welcome to 28 Redondo! Two bedroom two baths on a big lot. On the main level is the living room, dining room, kitchen, 2 full bathrooms and 2 bedrooms. On the upper level is a space with Panoramic view to the Bay Bridge & city!! This is currently rented with a tons of banked rent and is a great opportunity for investors.","Listing provided by Sharon X Kong, Coldwell Banker Res. R.E. Svcs",http://mlax.rapmls.com/Gallery.aspx?mls=SFAR&listingRid=324428,Succeeded,https://app.realtaasa.com/homes/property/CA/San-Francisco/28-Redondo-St-94124/56af92793a021bc72ad1,,,,,,,,,,,,,,,37.718347,-122.392583,http://mediall.rapmls.com/sfarmls/listingpics/bigphoto/063/456463.jpg?tsp=20170403110518
370 Stoneridge Ln,"San Francisco, CA, 94134",Neighborhood: Crocker Amazon,Condo,"2 bd, 2 ba","$639,000 ",2,"$1,199 + $169 (HOA)","$6,934 ","$31,950 ","This beautiful bright corner condo features 2 spacious bedrooms (1 Master Suite with wall-mounted shelf and large walk-in closet), 2 nice baths, remodeled kitchen with stainless steel appliances, Quartz countertops, and porcelain tile flooring. Both living room and dining area have luxurious Oak laminate flooring, in-unit laundry area plus storage, a private patio, double-paned windows, and 1 car garage parking with storage rack.    This beauty is located in a very desirable gated community with low monthly HOA Fee ($337 / month), which includes water and common area maintenance. Close to McLaren Park/Golf Course, Crocker Amazon Playground/Soccer Fields, and MUNI Bus lines #8, #8BX (front building). Easy access to HWY 280, 101 and more.","Listing provided by Karen A Mai, Coldwell Banker Res. R.E. Svcs",http://mlax.rapmls.com/Gallery.aspx?mls=SFAR&listingRid=324235,Succeeded,https://app.realtaasa.com/homes/property/CA/San-Francisco/370-Stoneridge-Ln-94134/dc2244d11afe8ac9350a,,,,,,,,,,,,,,,37.71023,-122.426265,http://mediall.rapmls.com/sfarmls/listingpics/bigphoto/085/456285.jpg?tsp=20170330001608
8300 Oceanview Ter #205,"San Francisco, CA, 94132",Neighborhood: Ingleside Heights,Condo,"2 bd, 2 ba","$695,000 ",2,"$1,304 + $245 (HOA)","$7,541 ","$34,750 ","Gorgeous and modern condominium in the newly rebuilt Oceanview Village community! Offers an open concept living/dining room and kitchen floor-plan with stunning black bamboo flooring, kitchen with granite counter-tops and newer Kenmore stainless steel appliances. Large master suite with walk-in closet and large outdoor terrace overlooking the courtyard, every room offers an array of natural light with views. Perfectly situated on the second floor with very close access to elevator, parking garage, and entrance to building from front and rear side. Convenient access to ground level retail: Chase Bank, 24-Hour Fitness, restaurants, and professional services. Walking distance to BART and Muni, and a short drive to Westlake.","Listing provided by Mario Banuelos, Vanguard Properties",http://mlax.rapmls.com/Gallery.aspx?mls=SFAR&listingRid=324154,Succeeded,https://app.realtaasa.com/homes/property/CA/San-Francisco/8300-Oceanview-Ter-205-94132/eb8fb9e16fd29afafe8d,,,,,,,,,,,,,,,37.7098446,-122.4678576,http://mediall.rapmls.com/sfarmls/listingpics/bigphoto/053/456153.jpg?tsp=20170327112414
678 Moscow St,"San Francisco, CA, 94112",Neighborhood: Excelsior,House,"2 bd, 1 ba","$718,000 ",2,"$1,347 ","$7,791 ","$35,900 ","Very clean two bedroom, 1 bath home with sunroom and (unwarranted) bonus room down.  Fireplace, hardwood floors, two car garage with auto door opener.  Large yard waiting to be landscaped. Good transportation.  Close to Crocker Amazon park and Geneva Ave and Mission St shopping.","Listing provided by Edward J Mullins, Mullins & Co.",http://mlax.rapmls.com/Gallery.aspx?mls=SFAR&listingRid=324364,Succeeded,https://app.realtaasa.com/homes/property/CA/San-Francisco/678-Moscow-St-94112/c19e70891e35e418b4a5,,,,,,,,,,,,,,,37.7170422,-122.4310962,http://mediall.rapmls.com/sfarmls/listingpics/bigphoto/096/456396.jpg?tsp=20170331142750
1891 48th Ave,"San Francisco, CA, 94122",Neighborhood: Outer Sunset,House,"2 bd, 1 ba","$729,000 ",2,"$1,367 ","$7,910 ","$36,450 ","This Vintage 1947 2BD/1BA Dolger Colonial-Inspired Home is Ready for a New Owner's Reinvention. Located just around the corner from Ocean Beach/The Great Highway, and one block from the popular Noriega St. Shopping District, the East-facing home boasts an open living room w/fireplace, a bright kitchen/dining combo, two ample BDs tucked back off of the street, and a skylighted bath with separate shower & full tub. Down is an ample garage with storage and a bonus room ready for living space or hobby area expansion. A cozy rear yard completes this rare creative opportunity.","Listing provided by Andrew de Vries, Berkshire Hathaway-Franciscan",http://mlax.rapmls.com/Gallery.aspx?mls=SFAR&listingRid=324431,Succeeded,https://app.realtaasa.com/homes/property/CA/San-Francisco/1891-48th-Ave-94122/d0d1a32fd0b79d544523,,,,,,,,,,,,,,,37.7512098,-122.507653,http://mediall.rapmls.com/sfarmls/listingpics/bigphoto/064/456464.jpg?tsp=20170403115929
104 Trumbull St,"San Francisco, CA, 94112",Neighborhood: Excelsior,House,"2 bd, 1 ba","$739,000 ",2,"$1,386 ","$8,019 ","$36,950 ","Beautiful Victorian Home (delivered vacant) in Excellent Excelsior Location! Formal Living Room w/Wood Burning Fireplace, Formal Dining Room, 2 Bedrooms, 1 Bathroom, Large Country Kitchen and Sunroom! The Sunroom opens onto a Deck and Small Garden! Peek-A-Boo Views, Lots of Natural Light and High Ceilings! There is a 1 Bedroom, 1 Bath In-law rented for $1,000 per month, delivered subject to tenants rights. Separate 1 Car Garage. Close to Bernal Heights, Glen Park, Shopping and Public Transportation!","Listing provided by Alan F Morcos, Pacific Union International Inc.",http://mlax.rapmls.com/Gallery.aspx?mls=SFAR&listingRid=324241,Succeeded,https://app.realtaasa.com/homes/property/CA/San-Francisco/104-Trumbull-St-94112/bf0956250a33ad599441,,,,,,,,,,,,,,,37.730553,-122.42815,http://mediall.rapmls.com/sfarmls/listingpics/bigphoto/077/456277.jpg?tsp=20170330081230
215 Red Rock Way #J204,"San Francisco, CA, 94131",Neighborhood: Diamond Heights,Condo,"2 bd, 2 ba","$775,000 ",2,"$1,454 + $307 (HOA)","$8,409 ","$38,750 ","Diamond Hts Village #J204 offers two en-suite bedrooms separated by a large living room with sunny, southern views. Some of its features include an updated, open plan contemporary kitchen, dining area, wet bar and living area, two bathrooms, custom tile flooring in the entryway and kitchen, with carpeted bedrooms and living room.  There is also a working gas fireplace and a large walk in closet.  This condo looks over the lower greenbelt and has views of the Mt San Bruno, Glen Canyon and points south.  A deeded parking space is included. The HOA common amenities include a heated pool, fitness center with Sauna and Spa, an electric car charging station and professionally maintained greenbelt, currently being updated with new, native plants.","Listing provided by Charles W Mader, Park North Real Estate",http://mlax.rapmls.com/Gallery.aspx?mls=SFAR&listingRid=324243,Succeeded,https://app.realtaasa.com/homes/property/CA/San-Francisco/215-Red-Rock-Way-J204-94131/cbde3d1de7dcf17b64b2,,,,,,,,,,,,,,,37.7456324,-122.4425825,http://mediall.rapmls.com/sfarmls/listingpics/bigphoto/090/456290.jpg?tsp=20170330083907
875 La Playa St #383,"San Francisco, CA, 94121",Neighborhood: Outer Richmond,Condo,"2 bd, 2 ba","$780,000 ",2,"$1,463 + $367 (HOA)","$8,464 ","$39,000 ","This corner 2 bedroom/2 bathroom unit on the 3rd floor looks out onto the beautiful views of Golden Gate Park and Ocean Beach. The condo is nicely designed with a master suite and a second bedroom across the hall from a second full bathroom. There are laundry machines in the unit. A south east facing deck is a great place to enjoy the surf and watch the sunset. Walk to the Park Chalet, Lands End, the Cliff House and amenities on Balboa Street. There is parking in the garage and professional management taking care of the building and grounds. Safeway and the Ocean Beach Deli are across the street. The condo was recently rented and could rent for $3500 per month if desired.","Listing provided by Shaban A Shakoori, Coldwell Banker Previews Int'l",http://mlax.rapmls.com/Gallery.aspx?mls=SFAR&listingRid=324412,Succeeded,https://app.realtaasa.com/homes/property/CA/San-Francisco/875-La-Playa-St-383-94121/b1f05c3969e9c4d940d5,,,,,,,,,,,,,,,37.7716662,-122.5103364,http://mediall.rapmls.com/sfarmls/listingpics/bigphoto/048/456448.jpg?tsp=20170408130155
874 Silver Ave,"San Francisco, CA, 94134",Neighborhood: Portola,House,"2 bd, 1 ba","$799,000 ",2,"$1,499 ","$8,670 ","$39,950 ","Situated in the highly prized University Mound neighborhood in the heart of San Francisco's Portola District. Featuring 2 large bedrooms and 1 full bath. Living room, eat-in kitchen and separate formal dining room. This lovely tunnel home has freshly painted exterior, newly refinished hardwood floors. Close to public transportation, parks, restaurants, shopping, and easy access to freeways.","Listing provided by Jay Minemoto, Berkshire Hathaway Home Services California Realty",http://mlax.rapmls.com/Gallery.aspx?mls=SFAR&listingRid=324181,Succeeded,https://app.realtaasa.com/homes/property/CA/San-Francisco/874-Silver-Ave-94134/71aabf10d2f48c5eb0e4,,,,,,,,,,,,,,,37.7287754,-122.4177948,http://mediall.rapmls.com/sfarmls/listingpics/bigphoto/013/455413.jpg?tsp=20170328082523
227 Panorama Dr,"San Francisco, CA, 94131",Neighborhood: Midtown Terrace,House,"2 bd, 1 ba","$799,000 ",2,"$1,499 ","$8,670 ","$39,950 ","FIXER with mid-century flair, expansion possibilities and westerly city/ocean views. Much loved home with original details and much deferred maintenance.  Opportunity to turn a yesterday home into a tomorrow gem.  Extra space and two car tandem garage on entry level plus lower basement with tall ceilings beckon exploration for expanding living space. Midtown Terrace offers convenient location and quick access to freeways, transportation and city amenities. Bring your vision and ideas for transformation.","Listing provided by Jim Beitzel, Zephyr Real Estate",http://mlax.rapmls.com/Gallery.aspx?mls=SFAR&listingRid=324213,Succeeded,https://app.realtaasa.com/homes/property/CA/San-Francisco/227-Panorama-Dr-94131/ae59be2c36c37b73fa3c,,,,,,,,,,,,,,,37.749014,-122.452401,http://mediall.rapmls.com/sfarmls/listingpics/bigphoto/041/456241.jpg?tsp=20170329122610
