address,lat,lng
"259 Clara St #401 San Francisco, CA, 94107",37.7783714,-122.4034816
"338 Potrero Ave #309 San Francisco, CA, 94103",37.7652366,-122.4075214
"1380 Greenwich St #109 San Francisco, CA, 94109",37.80096100000001,-122.422447
"250 King St #474 San Francisco, CA, 94107",37.7781311,-122.3932477
"374 Guerrero St #1 San Francisco, CA, 94103",37.765281,-122.4245097
"2595 Clay St #1 San Francisco, CA, 94115",37.790409,-122.4354998
"4322 17th St #B San Francisco, CA, 94114",37.762339,-122.441062
"170 King St #1106 San Francisco, CA, 94107",37.7788432,-122.3914892
"55 Conrad St San Francisco, CA, 94131",37.7376334,-122.4361249
"1382 Page St #2 San Francisco, CA, 94117",37.771633,-122.44353
"1543 Dolores St San Francisco, CA, 94110",37.744852,-122.424153
"2775 Greenwich St San Francisco, CA, 94123",37.7976447,-122.4452975
"10 Levant St San Francisco, CA, 94114",37.7648471,-122.4424347
"429 Carl St San Francisco, CA, 94117",37.7647679,-122.456229
"1151 Sutter St #301 San Francisco, CA, 94109",37.7877025,-122.4194898
"448 Anderson St San Francisco, CA, 94110",37.7377924,-122.4154639
"1590 22nd Ave San Francisco, CA, 94122",37.7580555,-122.4797526
"45 Montecito Ave San Francisco, CA, 94112",37.7309634,-122.4536748
"419 31st Ave San Francisco, CA, 94121",37.7813122,-122.4914204
"530 Chestnut St #C312 San Francisco, CA, 94133",37.8041704,-122.4124849
"338 Potrero Ave #503 San Francisco, CA, 94103",37.7652366,-122.4075214
"300 3rd St #520 San Francisco, CA, 94107",37.7834748,-122.3988968
"1573 Waller San Francisco, CA, 94117",37.7684894,-122.4499034
"338 Potrero Ave #508 San Francisco, CA, 94103",37.7652366,-122.4075214
"4132 3rd St #6 San Francisco, CA, 94124",37.73987959999999,-122.3891287
"2511 25th Ave San Francisco, CA, 94116",37.7406066,-122.4822382
"2382 Union St San Francisco, CA, 94123",37.796946,-122.438461
"3011 20th St #2 San Francisco, CA, 94110",37.758888,-122.410975
"801 Indiana St #363 San Francisco, CA, 94107",37.7603083,-122.3913132
"1630 34th Ave San Francisco, CA, 94122",37.7566459,-122.4925119
"465 10th St #206 San Francisco, CA, 94103",37.7708827,-122.4099833
"152 Lombard St #304 San Francisco, CA, 94111",37.80445,-122.404178
"132 Collins St San Francisco, CA, 94118-3401",37.783572,-122.450057
"335 Clipper St San Francisco, CA, 94114",37.748735,-122.432452
"338 Potrero Ave #206 San Francisco, CA, 94103",37.7652366,-122.4075214
"960 Wisconsin St San Francisco, CA, 94107",37.75526199999999,-122.399058
"58 Allen St San Francisco, CA, 94109",37.7994594,-122.420067
"261 Henry St #A San Francisco, CA, 94114",37.76621799999999,-122.436728
"1252 South Van Ness Ave San Francisco, CA, 94110",37.7531447,-122.4164638
"1365 16th Ave San Francisco, CA, 94122",37.76249809999999,-122.4738446
"355 1st St #s204 San Francisco, CA, 94105",37.7868797,-122.3934879
"11 Franklin St #406 San Francisco, CA, 94102",37.7745585,-122.420818
"527 Holly Park Cir San Francisco, CA, 94110",37.7361133,-122.4206414
"45 Bartlett St #410 San Francisco, CA, 94110",37.7558162,-122.4197494
"45 Bartlett St #507 San Francisco, CA, 94110",37.7558162,-122.4197494
"2134 Green St #3 San Francisco, CA, 94123",37.7965673,-122.4342587
"250 King St #872 San Francisco, CA, 94107",37.7781311,-122.3932477
"68 Harriet St #13 San Francisco, CA, 94103",37.7783528,-122.4068131
"8 Buchanan St #601 San Francisco, CA, 94102",37.7699869,-122.4264516
"199 Cresta Vista Dr San Francisco, CA, 94127",37.7356203,-122.4555115
"330 N Mission Bay Blvd #405 San Francisco, CA, 94158",37.7713635,-122.3873252
"2315 Divisadero St #C San Francisco, CA, 94115",37.791013,-122.441417
"12 Auburn St San Francisco, CA, 94133",37.795669,-122.4123359
"12 Auburn St San Francisco, CA, 94133",37.795669,-122.4123359
"1565 Sacramento St #6 San Francisco, CA, 94109",37.791537,-122.418539
"1776 Sacramento St #605 San Francisco, CA, 94109",37.7915441,-122.4221102
"631 Folsom St #6C San Francisco, CA, 94107",37.7848176,-122.3969578
"329 Bay St #307 San Francisco, CA, 94133",37.8055114,-122.4126482
"26 St Marys Ave San Francisco, CA, 94112",37.734342,-122.4265
"338 Potrero Ave #509 San Francisco, CA, 94103",37.7652366,-122.4075214
"521 Cayuga Ave San Francisco, CA, 94112-1915",37.7288599,-122.4353078
"520 Chestnut St #102 San Francisco, CA, 94133",37.8039833,-122.4123796
"631 Folsom St #8C San Francisco, CA, 94107",37.7848176,-122.3969578
"338 Potrero Ave #609 San Francisco, CA, 94103",37.7652366,-122.4075214
"451 Kansas St #382 San Francisco, CA, 94107",37.7638443,-122.4029888
"3087 22nd St San Francisco, CA, 94110",37.7555094,-122.4162444
"324 Arguello Blvd #2 San Francisco, CA, 94118",37.785115,-122.45877
