address,city_state_zip,bedsize,bathsize,price,co_owners,monthly_cost,savings
171 Ledyard St,"San Francisco, CA, 94124",2.0,1.0,599000,2,1124,6500
135 Farallones St,"San Francisco, CA, 94112",2.0,1.0,648000,2,1216,7031
8300 Oceanview Ter #205,"San Francisco, CA, 94132",2.0,2.0,695000,2,1304,7541
900 Somerset St,"San Francisco, CA, 94134",2.0,1.0,699000,2,1311,7585
601 Van Ness Ave #525,"San Francisco, CA, 94102",2.0,2.0,797000,2,1495,8648
2189 Market St #7,"San Francisco, CA, 94114",2.0,1.0,799000,2,1499,8670
2 Colby St,"San Francisco, CA, 94134",2.0,1.0,799000,2,1499,8670
2317 31st Ave,"San Francisco, CA, 94116",2.0,1.0,873000,2,1638,9473
5 Sunview Dr,"San Francisco, CA, 94131",2.0,1.0,895000,2,1679,9711
747 Lyon St #2,"San Francisco, CA, 94115",2.0,1.0,935000,2,1754,10145
274 Athens St,"San Francisco, CA, 94112",2.0,2.0,979000,2,1836,10623
1117 Alabama St #A,"San Francisco, CA, 94110",2.0,1.0,998000,2,1872,10829
259 Clara St #401,"San Francisco, CA, 94107",2.0,2.0,999999,2,1876,10851
250 King St #474,"San Francisco, CA, 94107",2.0,1.5,1049000,2,1968,11382
132 Collins St,"San Francisco, CA, 94118",2.0,1.0,1095000,2,2054,11882
68 Harriet St #13,"San Francisco, CA, 94103",2.0,2.5,1099000,2,2062,11925
170 King St #711,"San Francisco, CA, 94107",2.0,2.0,1150000,2,2157,12478
235 Berry #704,"San Francisco, CA, 94158",2.0,2.0,1195000,2,2242,12967
300 Berry St #1210,"San Francisco, CA, 94158",2.0,1.0,1195000,2,2242,12967
645 Texas St #315,"San Francisco, CA, 94107",2.0,2.0,1205000,2,2260,13075
174 Connecticut St #3,"San Francisco, CA, 94107",2.0,3.0,1249000,2,2343,13553
2609-2615 Bryant St,"San Francisco, CA, 94110",2.0,1.0,1275000,2,2392,13835
645 Texas #402,"San Francisco, CA, 94107",2.0,2.0,1290000,2,2420,13998
666 Cayuga Ave,"San Francisco, CA, 94112",2.0,2.0,1295000,2,2429,14052
2040 Sutter St #301,"San Francisco, CA, 94115",2.0,2.0,1348000,2,2529,14627
120-124 Varennes St,"San Francisco, CA, 94133",2.0,1.0,1380000,2,2589,14974
255 Berry St #516,"San Francisco, CA, 94158",2.0,2.0,1475000,2,2767,16005
1141 Church St,"San Francisco, CA, 94114",2.0,2.0,1649000,2,3093,17893
338 Main St #D16G,"San Francisco, CA, 94105",2.0,2.0,1675000,2,3142,18175
225 9th St,"San Francisco, CA, 94103",2.0,2.0,1699000,2,3187,18435
2724-2728 22nd St,"San Francisco, CA, 94110",2.0,2.0,2295000,2,4305,24903
238 Evelyn Way,"San Francisco, CA, 94127",3.0,1.0,799000,3,999,5780
790 Naples St,"San Francisco, CA, 94112",3.0,2.0,899000,3,1124,6503
2574 44th Ave,"San Francisco, CA, 94116",3.0,1.0,900000,3,1126,6510
1675 29th Ave,"San Francisco, CA, 94122",3.0,1.25,995000,3,1244,7198
622 38th Ave,"San Francisco, CA, 94121",3.0,2.0,999000,3,1249,7227
165 Vasquez Ave,"San Francisco, CA, 94127",3.0,1.25,1050000,3,1313,7596
476 Joost Ave,"San Francisco, CA, 94127",3.0,2.0,1075000,3,1344,7776
594 Lisbon St,"San Francisco, CA, 94112",3.0,2.5,1088000,3,1361,7870
4036 Moraga St,"San Francisco, CA, 94122",3.0,2.5,1188000,3,1486,8594
126 Monterey Blvd,"San Francisco, CA, 94131",3.0,2.0,1198000,3,1498,8666
1671 Church St,"San Francisco, CA, 94131",3.0,2.5,1225000,3,1532,8861
2527 33rd Ave,"San Francisco, CA, 94116",3.0,2.0,1279000,3,1599,9252
2722 Irving St,"San Francisco, CA, 94122",3.0,2.5,1349000,3,1687,9758
571 20th Ave,"San Francisco, CA, 94121",3.0,2.0,1388000,3,1736,10041
638 19th St #4,"San Francisco, CA, 94107",3.0,2.0,1395000,3,1745,10091
229 Stanyan St,"San Francisco, CA, 94118",3.0,2.5,1399000,3,1750,10120
1714 8th Ave,"San Francisco, CA, 94122",3.0,2.5,1469000,3,1837,10627
955 Leavenworth,"San Francisco, CA, 94109",3.0,2.0,1549000,3,1937,11205
20 Wright St,"San Francisco, CA, 94110",3.0,2.0,1795000,3,2245,12985
187 Brompton Ave,"San Francisco, CA, 94131",3.0,2.25,1795000,3,2245,12985
2405 Folsom St #4,"San Francisco, CA, 94110",3.0,3.5,1899000,3,2375,13737
2405 Folsom St #6,"San Francisco, CA, 94110",3.0,3.5,1949000,3,2437,14099
225 Laguna St,"San Francisco, CA, 94102",3.0,2.5,2395000,3,2995,17325
425 1st St #2902,"San Francisco, CA, 94105",3.0,3.0,2985000,3,3733,21593
2230 Bush St,"San Francisco, CA, 94115",3.0,3.0,4995000,3,6247,36133
190 Mary Teresa St #2,"San Francisco, CA, 94134",4.0,2.0,1099000,4,1031,5963
541 Orizaba Ave,"San Francisco, CA, 94132",4.0,3.0,1199000,4,1125,6505
456 Los Palmos Dr,"San Francisco, CA, 94127",4.0,4.0,1299000,4,1218,7048
64 Mercedes Way,"San Francisco, CA, 94127",4.0,3.5,1895000,4,1777,10281
2855 Jackson St #102,"San Francisco, CA, 94115",4.0,2.5,2200000,4,2063,11936
3835-3837 26th St,"San Francisco, CA, 94131",4.0,2.0,2649000,4,2485,14372
407 Connecticut St,"San Francisco, CA, 94107",4.0,3.5,3195000,4,2997,17334
1661 Beach St,"San Francisco, CA, 94123",4.0,3.0,3195000,4,2997,17334
1644 Diamond,"San Francisco, CA, 94131",4.0,4.5,3895000,4,3653,21132
537 Laidley St,"San Francisco, CA, 94131",4.0,4.0,4085000,4,3831,22163
2838 Sacramento St,"San Francisco, CA, 94115",4.0,4.0,5795000,4,5435,31440
2440 Filbert St,"San Francisco, CA, 94123",4.0,3.5,5995000,4,5623,32525
1543 23rd Ave,"San Francisco, CA, 94122",5.0,3.0,1299999,5,975,5642
206 Bosworth St,"San Francisco, CA, 94112",5.0,4.0,2095000,5,1572,9093
86 Ord St,"San Francisco, CA, 94114",5.0,4.0,4795000,5,3598,20812
16 West Clay St,"San Francisco, CA, 94121",6.0,4.5,6495000,6,4061,23492
6 Nottingham Pl,"San Francisco, CA, 94133",9.0,4.0,2388888,9,996,5760
12 Garnett Ter,"San Francisco, CA, 94124",2.0,1.0,249811,2,469,2711
