address,city_state_zip,bedsize,bathsize,price,co_owners,monthly_cost,savings,gallery_url
171 Ledyard St,"San Francisco, CA, 94124",2.0,1.0,599000,2,1124,6500,http://mlax.rapmls.com/Gallery.aspx?mls=SFAR&listingRid=324079
135 Farallones St,"San Francisco, CA, 94112",2.0,1.0,648000,2,1216,7031,http://mlax.rapmls.com/Gallery.aspx?mls=SFAR&listingRid=324095
8300 Oceanview Ter #205,"San Francisco, CA, 94132",2.0,2.0,695000,2,1304,7541,http://mlax.rapmls.com/Gallery.aspx?mls=SFAR&listingRid=324154
900 Somerset St,"San Francisco, CA, 94134",2.0,1.0,699000,2,1311,7585,http://mlax.rapmls.com/Gallery.aspx?mls=SFAR&listingRid=324100
601 Van Ness Ave #525,"San Francisco, CA, 94102",2.0,2.0,797000,2,1495,8648,http://mlax.rapmls.com/Gallery.aspx?mls=SFAR&listingRid=324066
2189 Market St #7,"San Francisco, CA, 94114",2.0,1.0,799000,2,1499,8670,http://mlax.rapmls.com/Gallery.aspx?mls=SFAR&listingRid=324089
2 Colby St,"San Francisco, CA, 94134",2.0,1.0,799000,2,1499,8670,http://mlax.rapmls.com/Gallery.aspx?mls=SFAR&listingRid=324054
2317 31st Ave,"San Francisco, CA, 94116",2.0,1.0,873000,2,1638,9473,http://mlax.rapmls.com/Gallery.aspx?mls=SFAR&listingRid=324044
5 Sunview Dr,"San Francisco, CA, 94131",2.0,1.0,895000,2,1679,9711,http://mlax.rapmls.com/Gallery.aspx?mls=SFAR&listingRid=324085
747 Lyon St #2,"San Francisco, CA, 94115",2.0,1.0,935000,2,1754,10145,http://mlax.rapmls.com/Gallery.aspx?mls=SFAR&listingRid=323493
274 Athens St,"San Francisco, CA, 94112",2.0,2.0,979000,2,1836,10623,http://mlax.rapmls.com/Gallery.aspx?mls=SFAR&listingRid=324041
1117 Alabama St #A,"San Francisco, CA, 94110",2.0,1.0,998000,2,1872,10829,http://mlax.rapmls.com/Gallery.aspx?mls=SFAR&listingRid=324139
259 Clara St #401,"San Francisco, CA, 94107",2.0,2.0,999999,2,1876,10851,http://mlax.rapmls.com/Gallery.aspx?mls=SFAR&listingRid=324027
250 King St #474,"San Francisco, CA, 94107",2.0,1.5,1049000,2,1968,11382,http://mlax.rapmls.com/Gallery.aspx?mls=SFAR&listingRid=324034
132 Collins St,"San Francisco, CA, 94118",2.0,1.0,1095000,2,2054,11882,https://app.realtaasa.com/homes/property/CA/San-Francisco/132-Collins-St-94118-3401/ae35a7f703f1b7f424f3
68 Harriet St #13,"San Francisco, CA, 94103",2.0,2.5,1099000,2,2062,11925,http://mlax.rapmls.com/Gallery.aspx?mls=SFAR&listingRid=324011
170 King St #711,"San Francisco, CA, 94107",2.0,2.0,1150000,2,2157,12478,http://mlax.rapmls.com/Gallery.aspx?mls=SFAR&listingRid=324090
235 Berry #704,"San Francisco, CA, 94158",2.0,2.0,1195000,2,2242,12967,TBD
300 Berry St #1210,"San Francisco, CA, 94158",2.0,1.0,1195000,2,2242,12967,http://mlax.rapmls.com/Gallery.aspx?mls=SFAR&listingRid=324025
645 Texas St #315,"San Francisco, CA, 94107",2.0,2.0,1205000,2,2260,13075,http://mlax.rapmls.com/Gallery.aspx?mls=SFAR&listingRid=324096
174 Connecticut St #3,"San Francisco, CA, 94107",2.0,3.0,1249000,2,2343,13553,http://mlax.rapmls.com/Gallery.aspx?mls=SFAR&listingRid=324087
2609-2615 Bryant St,"San Francisco, CA, 94110",2.0,1.0,1275000,2,2392,13835,http://mlax.rapmls.com/Gallery.aspx?mls=SFAR&listingRid=324105
